50636.2 ms
cam newton
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
gary barnidge
new orleans
132.25
100
cam newton
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
gary barnidge
tennessee
132.2
99
cam newton
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
charles clay
new orleans
132.05
100
cam newton
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
charles clay
tennessee
132
99
blake bortles
david johnson
devonta freeman
jeremy hill
allen robinson
kelvin benjamin
deandre hopkins
travis kelce
tennessee
131.9
100
tom brady
david johnson
devonta freeman
jeremy hill
deandre hopkins
mike wallace
steve smith
gary barnidge
tennessee
131.9
100
tom brady
david johnson
jeremy hill
rashad jennings
allen robinson
deandre hopkins
mike wallace
gary barnidge
cincinnati
131.85
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
amari cooper
allen robinson
deandre hopkins
gary barnidge
new orleans
131.75
100
blake bortles
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
tyler eifert
new orleans
131.75
99
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
amari cooper
allen robinson
deandre hopkins
gary barnidge
tennessee
131.7
99
blake bortles
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
tyler eifert
tennessee
131.7
98
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
amari cooper
deandre hopkins
mike wallace
tyler eifert
tennessee
131.7
100
tom brady
david johnson
devonta freeman
jeremy hill
deandre hopkins
mike wallace
steve smith
charles clay
tennessee
131.7
100
tom brady
david johnson
jeremy hill
devontae booker
allen robinson
deandre hopkins
mike wallace
gary barnidge
tennessee
131.7
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
amari cooper
allen robinson
deandre hopkins
gary barnidge
tennessee
131.7
99
cam newton
david johnson
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
travis kelce
tennessee
131.7
100
blake bortles
david johnson
devonta freeman
jeremy hill
allen robinson
kelvin benjamin
mike wallace
travis kelce
tennessee
131.7
100
blake bortles
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
tyler eifert
tennessee
131.7
98
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
amari cooper
deandre hopkins
mike wallace
tyler eifert
tennessee
131.7
100
tom brady
david johnson
jeremy hill
rashad jennings
allen robinson
deandre hopkins
mike wallace
charles clay
cincinnati
131.65
100
blake bortles
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
travis kelce
san diego
131.65
100
aaron rodgers
david johnson
jeremy hill
rashad jennings
allen robinson
deandre hopkins
mike wallace
gary barnidge
tennessee
131.6
100
tom brady
david johnson
jeremy hill
tevin coleman
amari cooper
deandre hopkins
mike wallace
gary barnidge
tennessee
131.6
100
blake bortles
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
jarvis landry
tyler eifert
tennessee
131.6
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
travis kelce
denver
131.6
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
amari cooper
allen robinson
deandre hopkins
charles clay
new orleans
131.55
100
tom brady
david johnson
jeremy hill
tevin coleman
allen robinson
deandre hopkins
mike wallace
travis kelce
cincinnati
131.55
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
amari cooper
allen robinson
mike wallace
gary barnidge
new orleans
131.55
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
amari cooper
allen robinson
deandre hopkins
charles clay
tennessee
131.5
99
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
allen robinson
terrelle pryor
deandre hopkins
tyler eifert
tennessee
131.5
100
tom brady
david johnson
jeremy hill
devontae booker
allen robinson
deandre hopkins
mike wallace
charles clay
tennessee
131.5
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
amari cooper
allen robinson
deandre hopkins
charles clay
tennessee
131.5
99
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
amari cooper
allen robinson
mike wallace
gary barnidge
tennessee
131.5
99
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
allen robinson
terrelle pryor
deandre hopkins
tyler eifert
tennessee
131.5
100
blake bortles
david johnson
devonta freeman
jeremy hill
amari cooper
allen robinson
deandre hopkins
gary barnidge
cincinnati
131.45
99
blake bortles
david johnson
devonta freeman
jeremy hill
amari cooper
deandre hopkins
mike wallace
tyler eifert
cincinnati
131.45
100
cam newton
david johnson
devonta freeman
jeremy hill
allen robinson
kelvin benjamin
deandre hopkins
gary barnidge
cincinnati
131.45
100
blake bortles
david johnson
devonta freeman
jeremy hill
amari cooper
allen robinson
deandre hopkins
gary barnidge
cincinnati
131.45
99
blake bortles
david johnson
devonta freeman
jeremy hill
amari cooper
deandre hopkins
mike wallace
tyler eifert
cincinnati
131.45
100
aaron rodgers
david johnson
jeremy hill
rashad jennings
allen robinson
deandre hopkins
mike wallace
charles clay
tennessee
131.4
100
tom brady
david johnson
jeremy hill
tevin coleman
amari cooper
deandre hopkins
mike wallace
charles clay
tennessee
131.4
100
blake bortles
david johnson
devonta freeman
jeremy hill
allen robinson
mike wallace
jarvis landry
tyler eifert
tennessee
131.4
100
blake bortles
david johnson
devonta freeman
jeremy hill
amari cooper
deandre hopkins
mike wallace
gary barnidge
denver
131.4
100
tom brady
david johnson
jeremy hill
tevin coleman
allen robinson
terrelle pryor
deandre hopkins
gary barnidge
tennessee
131.4
100
blake bortles
david johnson
devonta freeman
jeremy hill
allen robinson
mike wallace
jarvis landry
tyler eifert
tennessee
131.4
100
blake bortles
david johnson
devonta freeman
jeremy hill
amari cooper
deandre hopkins
mike wallace
gary barnidge
denver
131.4
100
tom brady
david johnson
devonta freeman
jeremy hill
deandre hopkins
mike wallace
jarvis landry
gary barnidge
cincinnati
131.35
100
tom brady
david johnson
jeremy hill
doug martin
allen robinson
deandre hopkins
mike wallace
gary barnidge
cincinnati
131.35
100
tom brady
david johnson
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
gary barnidge
cincinnati
131.35
99
