10160.5 ms
blake bortles
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
steve smith
travis kelce
tennessee
127.7
100
blake bortles
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
steve smith
gary barnidge
tennessee
127.7
100
blake bortles
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
steve smith
tyler eifert
tennessee
127.6
100
blake bortles
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
steve smith
gary barnidge
new orleans
127.55
100
blake bortles
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
steve smith
charles clay
tennessee
127.5
100
tom brady
david johnson
thomas rawls
tevin coleman
allen robinson
jarvis landry
steve smith
gary barnidge
tennessee
127.5
100
blake bortles
david johnson
rashad jennings
doug martin
amari cooper
allen robinson
steve smith
gary barnidge
tennessee
127.5
100
blake bortles
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
steve smith
gary barnidge
tennessee
127.5
99
ryan fitzpatrick
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
jarvis landry
gary barnidge
tennessee
127.4
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
jarvis landry
travis kelce
tennessee
127.4
100
ryan fitzpatrick
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
jarvis landry
gary barnidge
tennessee
127.4
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
jarvis landry
travis kelce
tennessee
127.4
100
blake bortles
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
steve smith
charles clay
new orleans
127.35
100
blake bortles
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
terrelle pryor
gary barnidge
new orleans
127.35
100
ryan fitzpatrick
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
jarvis landry
tyler eifert
tennessee
127.3
100
tom brady
david johnson
thomas rawls
tevin coleman
allen robinson
jarvis landry
steve smith
charles clay
tennessee
127.3
100
blake bortles
david johnson
rashad jennings
doug martin
amari cooper
allen robinson
steve smith
charles clay
tennessee
127.3
100
blake bortles
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
steve smith
charles clay
tennessee
127.3
99
blake bortles
david johnson
rashad jennings
devontae booker
amari cooper
allen robinson
jarvis landry
gary barnidge
tennessee
127.3
100
blake bortles
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
terrelle pryor
gary barnidge
tennessee
127.3
99
blake bortles
david johnson
rashad jennings
thomas rawls
allen robinson
terrelle pryor
steve smith
tyler eifert
tennessee
127.3
100
cam newton
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
steve smith
gary barnidge
cincinnati
127.25
100
ryan fitzpatrick
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
jarvis landry
gary barnidge
new orleans
127.25
100
blake bortles
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
steve smith
travis kelce
new orleans
127.25
100
ryan fitzpatrick
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
jarvis landry
charles clay
tennessee
127.2
100
ryan fitzpatrick
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
steve smith
tyler eifert
tennessee
127.2
100
ryan fitzpatrick
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
jarvis landry
charles clay
tennessee
127.2
100
tom brady
david johnson
rashad jennings
tevin coleman
allen robinson
terrelle pryor
tyler boyd
gary barnidge
tennessee
127.2
100
ryan fitzpatrick
david johnson
rashad jennings
doug martin
amari cooper
allen robinson
jarvis landry
gary barnidge
tennessee
127.2
100
ryan fitzpatrick
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
jarvis landry
gary barnidge
tennessee
127.2
99
ryan fitzpatrick
david johnson
rashad jennings
devontae booker
amari cooper
allen robinson
terrelle pryor
gary barnidge
tennessee
127.2
100
blake bortles
david johnson
