93180.6 ms
blake bortles
david johnson
devonta freeman
jeremy hill
kelvin benjamin
brandon marshall
deandre hopkins
greg olsen
tennessee
133.6
100
blake bortles
david johnson
jeremy hill
carlos hyde
allen robinson
brandon marshall
deandre hopkins
greg olsen
tennessee
133.6
100
blake bortles
david johnson
jeremy hill
rashad jennings
allen robinson
brandon marshall
deandre hopkins
greg olsen
new orleans
133.45
100
blake bortles
david johnson
jeremy hill
rashad jennings
allen robinson
brandon marshall
deandre hopkins
greg olsen
tennessee
133.4
99
cam newton
david johnson
jeremy hill
thomas rawls
brandon marshall
deandre hopkins
mike wallace
greg olsen
tennessee
133.4
100
blake bortles
david johnson
devonta freeman
jeremy hill
kelvin benjamin
brandon marshall
mike wallace
greg olsen
tennessee
133.4
100
blake bortles
david johnson
jeremy hill
carlos hyde
allen robinson
brandon marshall
mike wallace
greg olsen
tennessee
133.4
100
blake bortles
david johnson
jeremy hill
rashad jennings
allen robinson
brandon marshall
deandre hopkins
greg olsen
tennessee
133.4
99
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
allen robinson
brandon marshall
deandre hopkins
greg olsen
cincinnati
133.35
99
blake bortles
david johnson
devonta freeman
jeremy hill
brandon marshall
deandre hopkins
mike wallace
greg olsen
san diego
133.35
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
brandon marshall
deandre hopkins
mike wallace
greg olsen
denver
133.3
100
tom brady
david johnson
jeremy hill
tevin coleman
brandon marshall
deandre hopkins
mike wallace
greg olsen
cincinnati
133.25
100
blake bortles
david johnson
jeremy hill
rashad jennings
allen robinson
brandon marshall
mike wallace
greg olsen
new orleans
133.25
100
blake bortles
david johnson
devonta freeman
jeremy hill
allen robinson
brandon marshall
deandre hopkins
greg olsen
green bay
133.2
100
blake bortles
david johnson
jeremy hill
rashad jennings
allen robinson
brandon marshall
mike wallace
greg olsen
tennessee
133.2
99
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
allen robinson
brandon marshall
mike wallace
greg olsen
cincinnati
133.15
99
tom brady
david johnson
devonta freeman
jeremy hill
brandon marshall
deandre hopkins
mike wallace
gary barnidge
new orleans
133.15
100
tom brady
david johnson
devonta freeman
jeremy hill
brandon marshall
deandre hopkins
mike wallace
gary barnidge
tennessee
133.1
99
blake bortles
david johnson
jeremy hill
rashad jennings
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
133.1
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
greg olsen
cincinnati
133.05
100
blake bortles
david johnson
devonta freeman
jeremy hill
brandon marshall
deandre hopkins
mike wallace
greg olsen
new orleans
133.05
98
blake bortles
david johnson
devonta freeman
jeremy hill
allen robinson
brandon marshall
mike wallace
greg olsen
green bay
133
100
tom brady
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
gary barnidge
tennessee
133
100
aaron rodgers
david johnson
jeremy hill
tevin coleman
brandon marshall
deandre hopkins
mike wallace
greg olsen
tennessee
133
100
blake bortles
david johnson
devonta freeman
jeremy hill
brandon marshall
deandre hopkins
mike wallace
greg olsen
tennessee
133
97
tom brady
david johnson
devonta freeman
jeremy hill
brandon marshall
deandre hopkins
mike wallace
charles clay
new orleans
132.95
100
blake bortles
david johnson
devonta freeman
jeremy hill
brandon marshall
deandre hopkins
jarvis landry
greg olsen
new orleans
132.95
100
blake bortles
david johnson
jeremy hill
doug martin
allen robinson
brandon marshall
deandre hopkins
greg olsen
new orleans
132.95
100
blake bortles
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
greg olsen
new orleans
132.95
99
blake bortles
david johnson
devonta freeman
jeremy hill
brandon marshall
deandre hopkins
jarvis landry
greg olsen
new orleans
132.95
100
blake bortles
david johnson
jeremy hill
doug martin
allen robinson
brandon marshall
deandre hopkins
greg olsen
