18791.8 ms
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
deandre hopkins
tyler eifert
new orleans
127.55
100
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
deandre hopkins
tyler eifert
new orleans
127.55
99
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
deandre hopkins
tyler eifert
new orleans
127.55
100
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
deandre hopkins
tyler eifert
new orleans
127.55
99
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
deandre hopkins
tyler eifert
tennessee
127.5
99
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
deandre hopkins
tyler eifert
tennessee
127.5
98
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
deandre hopkins
tyler eifert
tennessee
127.5
99
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
deandre hopkins
tyler eifert
tennessee
127.5
98
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
deandre hopkins
travis kelce
san diego
127.45
100
tom brady
demarco murray
jeremy hill
rashad jennings
allen robinson
deandre hopkins
mike wallace
travis kelce
tennessee
127.4
100
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
mike wallace
tyler eifert
new orleans
127.35
100
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
mike wallace
tyler eifert
new orleans
127.35
99
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
mike wallace
tyler eifert
new orleans
127.35
100
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
mike wallace
tyler eifert
new orleans
127.35
99
tom brady
jeremy hill
todd gurley
thomas rawls
amari cooper
allen robinson
deandre hopkins
travis kelce
tennessee
127.3
100
tom brady
demarco murray
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
tyler eifert
tennessee
127.3
100
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
mike wallace
tyler eifert
tennessee
127.3
99
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
mike wallace
tyler eifert
tennessee
127.3
98
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
mike wallace
tyler eifert
tennessee
127.3
99
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
mike wallace
tyler eifert
tennessee
127.3
98
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
mike wallace
travis kelce
san diego
127.25
100
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
jarvis landry
tyler eifert
tennessee
127.2
100
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
deandre hopkins
travis kelce
new orleans
127.15
99
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
deandre hopkins
travis kelce
new orleans
127.15
98
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
deandre hopkins
travis kelce
new orleans
127.15
99
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
deandre hopkins
travis kelce
new orleans
127.15
98
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
deandre hopkins
travis kelce
tennessee
127.1
98
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
deandre hopkins
travis kelce
tennessee
127.1
97
tom brady
jeremy hill
todd gurley
thomas rawls
amari cooper
allen robinson
mike wallace
travis kelce
tennessee
127.1
100
tom brady
jeremy hill
rashad jennings
amari cooper
allen robinson
terrelle pryor
deandre hopkins
travis kelce
tennessee
127.1
100
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
deandre hopkins
travis kelce
tennessee
127.1
98
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
deandre hopkins
travis kelce
tennessee
127.1
97
tom brady
jeremy hill
todd gurley
thomas rawls
amari cooper
allen robinson
mike wallace
travis kelce
tennessee
127.1
100
tom brady
jeremy hill
thomas rawls
amari cooper
allen robinson
deandre hopkins
mike wallace
travis kelce
denver
127.1
100
tom brady
jeremy hill
thomas rawls
doug martin
amari cooper
allen robinson
deandre hopkins
tyler eifert
new orleans
127.05
99
tom brady
jeremy hill
thomas rawls
doug martin
amari cooper
allen robinson
deandre hopkins
tyler eifert
tennessee
127
98
tom brady
jeremy hill
thomas rawls
amari cooper
allen robinson
terrelle pryor
deandre hopkins
tyler eifert
tennessee
127
100
tom brady
jeremy hill
thomas rawls
doug martin
amari cooper
allen robinson
deandre hopkins
tyler eifert
tennessee
127
98
tom brady
jeremy hill
thomas rawls
devontae booker
amari cooper
allen robinson
deandre hopkins
travis kelce
denver
127
100
tom brady
jeremy hill
thomas rawls
doug martin
amari cooper
allen robinson
deandre hopkins
travis kelce
san diego
126.95
100
tom brady
demarco murray
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
travis kelce
new orleans
126.95
100
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
mike wallace
travis kelce
new orleans
126.95
99
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
mike wallace
travis kelce
new orleans
126.95
98
tom brady
jeremy hill
thomas rawls
doug martin
amari cooper
allen robinson
deandre hopkins
travis kelce
san diego
126.95
100
tom brady
jeremy hill
rashad jennings
amari cooper
allen robinson
deandre hopkins
mike wallace
tyler eifert
san diego
126.95
100
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
mike wallace
travis kelce
new orleans
126.95
99
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
mike wallace
travis kelce
new orleans
126.95
98
tom brady
demarco murray
jeremy hill
doug martin
allen robinson
deandre hopkins
mike wallace
travis kelce
tennessee
126.9
100
tom brady
demarco murray
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
travis kelce
tennessee
126.9
99
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
mike wallace
travis kelce
tennessee
126.9
98
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
mike wallace
travis kelce
tennessee
126.9
97
tom brady
demarco murray
jeremy hill
doug martin
allen robinson
deandre hopkins
mike wallace
travis kelce
tennessee
126.9
100
tom brady
demarco murray
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
travis kelce
tennessee
126.9
99
tom brady
jeremy hill
rashad jennings
amari cooper
allen robinson
terrelle pryor
mike wallace
travis kelce
tennessee
126.9
100
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
mike wallace
travis kelce
tennessee
126.9
98
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
mike wallace
travis kelce
tennessee
126.9
97
aaron rodgers
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
deandre hopkins
travis kelce
denver
126.9
100
tom brady
jeremy hill
rashad jennings
devontae booker
amari cooper
allen robinson
deandre hopkins
tyler eifert
san diego
126.85
100
tom brady
jeremy hill
todd gurley
rashad jennings
amari cooper
allen robinson
deandre hopkins
tyler eifert
cincinnati
126.85
100
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
terrelle pryor
tyler eifert
cincinnati
126.85
100
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
jarvis landry
travis kelce
new orleans
126.85
100
tom brady
jeremy hill
thomas rawls
doug martin
amari cooper
allen robinson
mike wallace
tyler eifert
new orleans
126.85
99
tom brady
jeremy hill
rashad jennings
devontae booker
amari cooper
allen robinson
deandre hopkins
tyler eifert
san diego
126.85
100
tom brady
jeremy hill
todd gurley
rashad jennings
amari cooper
allen robinson
deandre hopkins
tyler eifert
cincinnati
126.85
100
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
terrelle pryor
tyler eifert
cincinnati
126.85
100
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
jarvis landry
travis kelce
new orleans
126.85
100
tom brady
jeremy hill
thomas rawls
doug martin
amari cooper
allen robinson
mike wallace
tyler eifert
new orleans
126.85
99
tom brady
jeremy hill
rashad jennings
doug martin
amari cooper
allen robinson
jarvis landry
travis kelce
tennessee
126.8
100
tom brady
jeremy hill
rashad jennings
thomas rawls
amari cooper
allen robinson
jarvis landry
travis kelce
tennessee
126.8
99
tom brady
jeremy hill
rashad jennings
