1919.57 ms
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
travis kelce
cincinnati
127.75
100
aaron rodgers
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
travis kelce
tennessee
127.5
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
terrelle pryor
brandon marshall
gary barnidge
tennessee
127.4
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
terrelle pryor
brandon marshall
charles clay
tennessee
127.2
100
tom brady
demarco murray
jeremy hill
thomas rawls
brandon marshall
deandre hopkins
travis kelce
denver
michael thomas
127.1
100
cam newton
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
travis kelce
denver
127.1
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
gary barnidge
san diego
127.05
99
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
gary barnidge
new orleans
michael thomas
127.05
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
gary barnidge
tennessee
michael thomas
127
99
tom brady
demarco murray
latavius murray
jeremy hill
amari cooper
brandon marshall
deandre hopkins
gary barnidge
cincinnati
126.95
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
deandre hopkins
gary barnidge
tennessee
michael thomas
126.9
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
tyler eifert
green bay
126.9
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
charles clay
san diego
126.85
99
tom brady
demarco murray
jeremy hill
thomas rawls
terrelle pryor
brandon marshall
deandre hopkins
tyler eifert
san diego
126.85
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
charles clay
new orleans
michael thomas
126.85
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
charles clay
tennessee
michael thomas
126.8
99
tom brady
demarco murray
jeremy hill
thomas rawls
terrelle pryor
brandon marshall
tyler eifert
tennessee
michael thomas
126.8
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
rishard matthews
brandon marshall
gary barnidge
tennessee
126.8
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
zach ertz
tennessee
126.8
100
cam newton
demarco murray
jeremy hill
thomas rawls
amari cooper
terrelle pryor
brandon marshall
tyler eifert
tennessee
126.8
100
tom brady
demarco murray
latavius murray
jeremy hill
amari cooper
brandon marshall
deandre hopkins
charles clay
cincinnati
126.75
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
gary barnidge
new orleans
126.75
97
tom brady
demarco murray
jeremy hill
rashad jennings
amari cooper
brandon marshall
deandre hopkins
gary barnidge
san diego
126.75
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
deandre hopkins
charles clay
tennessee
michael thomas
126.7
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
gary barnidge
tennessee
126.7
96
aaron rodgers
demarco murray
latavius murray
jeremy hill
amari cooper
brandon marshall
deandre hopkins
gary barnidge
tennessee
126.7
100
tom brady
demarco murray
jeremy hill
rashad jennings
amari cooper
brandon marshall
gary barnidge
tennessee
michael thomas
126.7
100
russell wilson
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
tyler eifert
san diego
126.65
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
steve smith
travis kelce
cincinnati
126.65
100
tom brady
demarco murray
jeremy hill
carlos hyde
amari cooper
brandon marshall
deandre hopkins
gary barnidge
new orleans
126.65
99
russell wilson
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
tyler eifert
tennessee
michael thomas
126.6
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
rishard matthews
brandon marshall
charles clay
tennessee
126.6
100
russell wilson
demarco murray
jeremy hill
thomas rawls
amari cooper
terrelle pryor
brandon marshall
travis kelce
tennessee
126.6
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
tyler boyd
tyler eifert
tennessee
126.6
100
tom brady
demarco murray
jeremy hill
carlos hyde
amari cooper
brandon marshall
deandre hopkins
gary barnidge
tennessee
126.6
98
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
tyler lockett
tyler eifert
denver
126.6
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
charles clay
new orleans
126.55
97
tom brady
demarco murray
jeremy hill
thomas rawls
terrelle pryor
brandon marshall
deandre hopkins
tyler eifert
new orleans
126.55
98
tom brady
demarco murray
jeremy hill
tevin coleman
amari cooper
brandon marshall
deandre hopkins
tyler eifert
new orleans
126.55
99
tom brady
demarco murray
jeremy hill
rashad jennings
amari cooper
brandon marshall
deandre hopkins
charles clay
san diego
126.55
100
tom brady
demarco murray
jeremy hill
devontae booker
amari cooper
brandon marshall
deandre hopkins
tyler eifert
cincinnati
126.55
100
aaron rodgers
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
tyler eifert
cincinnati
126.55
99
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
charles clay
tennessee
126.5
96
aaron rodgers
demarco murray
latavius murray
jeremy hill
amari cooper
brandon marshall
deandre hopkins
charles clay
tennessee
126.5
100
tom brady
demarco murray
jeremy hill
thomas rawls
terrelle pryor
brandon marshall
deandre hopkins
tyler eifert
tennessee
126.5
97
tom brady
demarco murray
jeremy hill
tevin coleman
amari cooper
brandon marshall
deandre hopkins
tyler eifert
tennessee
126.5
98
tom brady
demarco murray
jeremy hill
rashad jennings
amari cooper
brandon marshall
charles clay
tennessee
michael thomas
126.5
100
tom brady
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
travis kelce
green bay
126.5
99
tom brady
demarco murray
jeremy hill
devontae booker
amari cooper
brandon marshall
deandre hopkins
gary barnidge
denver
126.5
100
aaron rodgers
demarco murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
gary barnidge
denver
126.5
99
