3875.79 ms
tom brady
david johnson
jeremy hill
thomas rawls
brandon marshall
deandre hopkins
mike wallace
zach ertz
new orleans
131.15
99
tom brady
david johnson
jeremy hill
thomas rawls
brandon marshall
deandre hopkins
mike wallace
zach ertz
tennessee
131.1
98
tom brady
david johnson
jeremy hill
carlos hyde
brandon marshall
deandre hopkins
mike wallace
zach ertz
tennessee
131
100
aaron rodgers
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
zach ertz
cincinnati
130.95
100
tom brady
david johnson
jeremy hill
tevin coleman
allen robinson
brandon marshall
deandre hopkins
zach ertz
new orleans
130.95
100
blake bortles
david johnson
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
zach ertz
new orleans
130.95
100
tom brady
david johnson
jeremy hill
tevin coleman
allen robinson
brandon marshall
deandre hopkins
zach ertz
tennessee
130.9
99
blake bortles
david johnson
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
zach ertz
tennessee
130.9
99
tom brady
david johnson
jeremy hill
rashad jennings
brandon marshall
deandre hopkins
mike wallace
zach ertz
new orleans
130.85
100
cam newton
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
zach ertz
san diego
130.85
100
tom brady
david johnson
jeremy hill
rashad jennings
brandon marshall
deandre hopkins
mike wallace
zach ertz
tennessee
130.8
99
blake bortles
david johnson
jeremy hill
thomas rawls
amari cooper
allen robinson
deandre hopkins
zach ertz
tennessee
130.8
100
aaron rodgers
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
mike wallace
zach ertz
cincinnati
130.75
100
tom brady
david johnson
jeremy hill
tevin coleman
allen robinson
brandon marshall
mike wallace
zach ertz
new orleans
130.75
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
zach ertz
new orleans
130.75
99
tom brady
david johnson
jeremy hill
thomas rawls
amari cooper
brandon marshall
tyler lockett
zach ertz
tennessee
130.7
100
tom brady
david johnson
jeremy hill
thomas rawls
brandon marshall
deandre hopkins
kenny britt
zach ertz
tennessee
130.7
100
tom brady
david johnson
jeremy hill
tevin coleman
allen robinson
brandon marshall
mike wallace
zach ertz
tennessee
130.7
99
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
zach ertz
tennessee
130.7
98
tom brady
david johnson
jeremy hill
thomas rawls
amari cooper
brandon marshall
tyler lockett
zach ertz
tennessee
130.7
100
tom brady
david johnson
jeremy hill
thomas rawls
brandon marshall
deandre hopkins
kenny britt
zach ertz
tennessee
130.7
100
tom brady
david johnson
jeremy hill
tevin coleman
allen robinson
brandon marshall
mike wallace
zach ertz
tennessee
130.7
99
tom brady
david johnson
jeremy hill
thomas rawls
terrelle pryor
brandon marshall
deandre hopkins
zach ertz
cincinnati
130.65
100
marcus mariota
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
zach ertz
new orleans
130.65
100
cam newton
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
mike wallace
zach ertz
san diego
130.65
100
tom brady
david johnson
jeremy hill
tevin coleman
allen robinson
deandre hopkins
mike wallace
zach ertz
tennessee
130.6
100
blake bortles
david johnson
jeremy hill
thomas rawls
amari cooper
allen robinson
mike wallace
zach ertz
tennessee
130.6
100
russell wilson
david johnson
jeremy hill
carlos hyde
allen robinson
brandon marshall
deandre hopkins
zach ertz
tennessee
130.6
100
marcus mariota
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
zach ertz
tennessee
130.6
99
blake bortles
david johnson
jeremy hill
rashad jennings
amari cooper
allen robinson
brandon marshall
zach ertz
tennessee
130.6
100
blake bortles
david johnson
jeremy hill
thomas rawls
amari cooper
allen robinson
mike wallace
zach ertz
tennessee
130.6
100
cam newton
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
zach ertz
new orleans
130.55
98
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
mike wallace
zach ertz
new orleans
130.55
99
tom brady
david johnson
jeremy hill
james starks
allen robinson
brandon marshall
deandre hopkins
zach ertz
tennessee
130.5
100
cam newton
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
zach ertz
tennessee
130.5
97
tom brady
david johnson
jeremy hill
thomas rawls
brandon marshall
mike wallace
kenny britt
zach ertz
tennessee
130.5
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
mike wallace
zach ertz
tennessee
130.5
98
tom brady
david johnson
jeremy hill
james starks
allen robinson
brandon marshall
deandre hopkins
zach ertz
tennessee
130.5
100
tom brady
david johnson
jeremy hill
thomas rawls
terrelle pryor
brandon marshall
mike wallace
zach ertz
cincinnati
130.45
100
russell wilson
david johnson
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
zach ertz
cincinnati
130.45
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
zach ertz
new orleans
130.45
100
marcus mariota
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
mike wallace
zach ertz
new orleans
130.45
100
russell wilson
david johnson
jeremy hill
rashad jennings
allen robinson
brandon marshall
deandre hopkins
zach ertz
new orleans
130.45
100
cam newton
david johnson
jeremy hill
carlos hyde
allen robinson
brandon marshall
deandre hopkins
zach ertz
new orleans
130.45
100
russell wilson
david johnson
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
zach ertz
cincinnati
130.45
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
zach ertz
new orleans
130.45
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
zach ertz
tennessee
130.4
99
marcus mariota
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
mike wallace
zach ertz
tennessee
130.4
99
aaron rodgers
david johnson
jeremy hill
thomas rawls
terrelle pryor
brandon marshall
deandre hopkins
zach ertz
tennessee
130.4
100
russell wilson
david johnson
jeremy hill
rashad jennings
allen robinson
brandon marshall
deandre hopkins
zach ertz
tennessee
130.4
99
