2801.36 ms
tom brady
david johnson
thomas rawls
rashad jennings
brandon marshall
steve smith
gary barnidge
tennessee
michael thomas
129.1
100
blake bortles
david johnson
latavius murray
thomas rawls
amari cooper
brandon marshall
gary barnidge
tennessee
michael thomas
129.1
100
tom brady
david johnson
thomas rawls
rashad jennings
brandon marshall
steve smith
charles clay
tennessee
michael thomas
128.9
100
blake bortles
david johnson
latavius murray
thomas rawls
amari cooper
brandon marshall
charles clay
tennessee
michael thomas
128.9
100
tom brady
david johnson
thomas rawls
carlos hyde
brandon marshall
tyler lockett
tyler eifert
tennessee
michael thomas
128.9
100
ryan fitzpatrick
david johnson
thomas rawls
rashad jennings
amari cooper
brandon marshall
tyler eifert
tennessee
michael thomas
128.9
100
tom brady
david johnson
thomas rawls
rashad jennings
brandon marshall
steve smith
charles clay
tennessee
michael thomas
128.9
100
tom brady
david johnson
thomas rawls
tevin coleman
brandon marshall
steve smith
travis kelce
tennessee
michael thomas
128.8
100
tom brady
david johnson
thomas rawls
rashad jennings
brandon marshall
tyler lockett
tyler eifert
new orleans
michael thomas
128.75
100
ryan fitzpatrick
david johnson
thomas rawls
carlos hyde
amari cooper
brandon marshall
travis kelce
tennessee
michael thomas
128.7
100
tom brady
david johnson
thomas rawls
rashad jennings
brandon marshall
tyler lockett
tyler eifert
tennessee
michael thomas
128.7
99
blake bortles
david johnson
thomas rawls
devontae booker
amari cooper
brandon marshall
tyler eifert
tennessee
michael thomas
128.7
100
blake bortles
david johnson
thomas rawls
rashad jennings
amari cooper
brandon marshall
tyler eifert
cincinnati
michael thomas
128.65
100
blake bortles
david johnson
devonta freeman
thomas rawls
amari cooper
brandon marshall
gary barnidge
new orleans
michael thomas
128.65
100
tom brady
david johnson
thomas rawls
doug martin
brandon marshall
steve smith
gary barnidge
tennessee
michael thomas
128.6
100
blake bortles
david johnson
devonta freeman
thomas rawls
amari cooper
brandon marshall
gary barnidge
tennessee
michael thomas
128.6
99
blake bortles
david johnson
thomas rawls
rashad jennings
amari cooper
brandon marshall
gary barnidge
denver
michael thomas
128.6
100
blake bortles
david johnson
devonta freeman
thomas rawls
amari cooper
brandon marshall
gary barnidge
tennessee
michael thomas
128.6
99
tom brady
david johnson
thomas rawls
carlos hyde
brandon marshall
tyler lockett
travis kelce
new orleans
michael thomas
128.55
100
ryan fitzpatrick
david johnson
thomas rawls
rashad jennings
amari cooper
brandon marshall
travis kelce
new orleans
michael thomas
128.55
100
tom brady
david johnson
thomas rawls
carlos hyde
brandon marshall
tyler lockett
travis kelce
tennessee
michael thomas
128.5
99
blake bortles
david johnson
latavius murray
thomas rawls
terrelle pryor
brandon marshall
travis kelce
tennessee
michael thomas
128.5
100
ryan fitzpatrick
david johnson
thomas rawls
rashad jennings
amari cooper
brandon marshall
travis kelce
tennessee
michael thomas
128.5
99
cam newton
david johnson
thomas rawls
rashad jennings
brandon marshall
steve smith
tyler eifert
tennessee
michael thomas
128.5
100
blake bortles
david johnson
devonta freeman
thomas rawls
amari cooper
brandon marshall
charles clay
new orleans
michael thomas
128.45
100
blake bortles
david johnson
thomas rawls
carlos hyde
amari cooper
brandon marshall
travis kelce
cincinnati
michael thomas
128.45
100
blake bortles
david johnson
devonta freeman
thomas rawls
amari cooper
brandon marshall
charles clay
new orleans
michael thomas
128.45
100
tom brady
david johnson
thomas rawls
doug martin
brandon marshall
steve smith
charles clay
tennessee
michael thomas
128.4
100
blake bortles
david johnson
devonta freeman
thomas rawls
amari cooper
brandon marshall
charles clay
tennessee
michael thomas
128.4
99
tom brady
david johnson
thomas rawls
amari cooper
brandon marshall
tyler lockett
gary barnidge
tennessee
michael thomas
128.4
100
blake bortles
david johnson
devonta freeman
thomas rawls
terrelle pryor
brandon marshall
tyler eifert
tennessee
michael thomas
128.4
100
ryan fitzpatrick
david johnson
thomas rawls
doug martin
amari cooper
brandon marshall
tyler eifert
tennessee
michael thomas
128.4
100
blake bortles
david johnson
thomas rawls
rashad jennings
amari cooper
brandon marshall
charles clay
denver
michael thomas
128.4
100
tom brady
david johnson
thomas rawls
doug martin
brandon marshall
steve smith
charles clay
tennessee
michael thomas
128.4
100
blake bortles
david johnson
devonta freeman
thomas rawls
amari cooper
brandon marshall
charles clay
tennessee
michael thomas
128.4
99
blake bortles
david johnson
devonta freeman
thomas rawls
terrelle pryor
brandon marshall
tyler eifert
tennessee
michael thomas
128.4
100
tom brady
david johnson
devonta freeman
thomas rawls
brandon marshall
tyler lockett
travis kelce
cincinnati
michael thomas
128.35
100
tom brady
david johnson
thomas rawls
rashad jennings
brandon marshall
tyler lockett
travis kelce
new orleans
michael thomas
128.35
99
blake bortles
david johnson
thomas rawls
devontae booker
amari cooper
brandon marshall
travis kelce
new orleans
michael thomas
128.35
100
blake bortles
david johnson
devonta freeman
rashad jennings
amari cooper
brandon marshall
gary barnidge
tennessee
michael thomas
128.3
100
tom brady
david johnson
thomas rawls
rashad jennings
brandon marshall
tyler lockett
travis kelce
tennessee
michael thomas
128.3
98
russell wilson
david johnson
thomas rawls
rashad jennings
brandon marshall
steve smith
travis kelce
tennessee
michael thomas
128.3
100
cam newton
david johnson
thomas rawls
carlos hyde
brandon marshall
steve smith
travis kelce
tennessee
michael thomas
128.3
100
blake bortles
david johnson
thomas rawls
devontae booker
amari cooper
brandon marshall
travis kelce
tennessee
michael thomas
128.3
99
blake bortles
david johnson
thomas rawls
tevin coleman
amari cooper
brandon marshall
travis kelce
denver
michael thomas
128.3
100
aaron rodgers
david johnson
thomas rawls
tevin coleman
amari cooper
brandon marshall
gary barnidge
cincinnati
michael thomas
128.25
100
tom brady
david johnson
thomas rawls
tevin coleman
terrelle pryor
brandon marshall
gary barnidge
new orleans
michael thomas
128.25
99
tom brady
david johnson
thomas rawls
doug martin
brandon marshall
tyler lockett
tyler eifert
new orleans
michael thomas
128.25
100
tom brady
david johnson
thomas rawls
devontae booker
terrelle pryor
brandon marshall
gary barnidge
cincinnati
michael thomas
128.25
100
blake bortles
david johnson
thomas rawls
rashad jennings
amari cooper
brandon marshall
travis kelce
cincinnati
michael thomas
128.25
99
