2787.02 ms
russell wilson
david johnson
jeremy hill
thomas rawls
brandon marshall
deandre hopkins
mike wallace
greg olsen
cincinnati
133.05
99
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
travis kelce
tennessee
133
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
tyler lockett
greg olsen
new orleans
132.95
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
tyler lockett
greg olsen
tennessee
132.9
99
russell wilson
david johnson
jeremy hill
tevin coleman
allen robinson
brandon marshall
deandre hopkins
greg olsen
cincinnati
132.85
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
mike wallace
travis kelce
tennessee
132.8
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
deandre hopkins
tyler lockett
greg olsen
tennessee
132.8
100
russell wilson
david johnson
jeremy hill
devontae booker
brandon marshall
deandre hopkins
mike wallace
greg olsen
tennessee
132.8
100
russell wilson
david johnson
jeremy hill
rashad jennings
brandon marshall
deandre hopkins
mike wallace
greg olsen
cincinnati
132.75
100
russell wilson
david johnson
jeremy hill
tevin coleman
allen robinson
brandon marshall
mike wallace
greg olsen
cincinnati
132.65
100
russell wilson
david johnson
jeremy hill
rashad jennings
allen robinson
brandon marshall
tyler lockett
greg olsen
tennessee
132.6
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
mike wallace
tyler lockett
greg olsen
tennessee
132.6
100
russell wilson
david johnson
jeremy hill
rashad jennings
allen robinson
brandon marshall
tyler lockett
greg olsen
tennessee
132.6
100
russell wilson
david johnson
jeremy hill
tevin coleman
terrelle pryor
brandon marshall
deandre hopkins
greg olsen
tennessee
132.3
100
russell wilson
david johnson
jeremy hill
doug martin
brandon marshall
deandre hopkins
mike wallace
greg olsen
cincinnati
132.25
100
russell wilson
david johnson
latavius murray
jeremy hill
allen robinson
brandon marshall
deandre hopkins
gary barnidge
tennessee
132.2
100
russell wilson
david johnson
jeremy hill
thomas rawls
brandon marshall
deandre hopkins
steve smith
greg olsen
cincinnati
132.15
99
russell wilson
david johnson
jeremy hill
doug martin
allen robinson
brandon marshall
tyler lockett
greg olsen
tennessee
132.1
100
russell wilson
david johnson
jeremy hill
tevin coleman
terrelle pryor
brandon marshall
mike wallace
greg olsen
tennessee
132.1
100
russell wilson
david johnson
jeremy hill
doug martin
allen robinson
brandon marshall
tyler lockett
greg olsen
tennessee
132.1
100
russell wilson
david johnson
jeremy hill
tevin coleman
terrelle pryor
brandon marshall
mike wallace
greg olsen
tennessee
132.1
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
tyler eifert
cincinnati
132.05
99
russell wilson
david johnson
latavius murray
jeremy hill
allen robinson
brandon marshall
deandre hopkins
charles clay
tennessee
132
100
russell wilson
david johnson
latavius murray
jeremy hill
allen robinson
brandon marshall
mike wallace
gary barnidge
tennessee
132
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
gary barnidge
denver
132
99
russell wilson
david johnson
jeremy hill
thomas rawls
brandon marshall
deandre hopkins
mike wallace
tyler eifert
denver
132
100
russell wilson
david johnson
latavius murray
jeremy hill
brandon marshall
deandre hopkins
tyler lockett
greg olsen
new orleans
131.95
100
russell wilson
david johnson
jeremy hill
thomas rawls
brandon marshall
mike wallace
steve smith
greg olsen
cincinnati
131.95
99
russell wilson
david johnson
latavius murray
jeremy hill
brandon marshall
deandre hopkins
tyler lockett
greg olsen
new orleans
131.95
100
russell wilson
david johnson
latavius murray
jeremy hill
brandon marshall
deandre hopkins
tyler lockett
greg olsen
tennessee
131.9
99
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
steve smith
travis kelce
tennessee
131.9
100
russell wilson
david johnson
latavius murray
jeremy hill
brandon marshall
deandre hopkins
tyler lockett
greg olsen
tennessee
131.9
99
russell wilson
david johnson
jeremy hill
devontae booker
brandon marshall
deandre hopkins
steve smith
greg olsen
tennessee
131.9
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
mike wallace
tyler eifert
cincinnati
131.85
99
russell wilson
david johnson
jeremy hill
rashad jennings
brandon marshall
deandre hopkins
steve smith
greg olsen
cincinnati
131.85
100
russell wilson
david johnson
jeremy hill
thomas rawls
deandre hopkins
mike wallace
steve smith
greg olsen
cincinnati
131.85
100
russell wilson
david johnson
jeremy hill
rashad jennings
brandon marshall
deandre hopkins
steve smith
greg olsen
cincinnati
131.85
100
russell wilson
david johnson
jeremy hill
thomas rawls
brandon marshall
deandre hopkins
mike wallace
greg olsen
green bay
131.8
98
russell wilson
david johnson
latavius murray
jeremy hill
allen robinson
brandon marshall
mike wallace
charles clay
tennessee
131.8
100
russell wilson
david johnson
latavius murray
jeremy hill
brandon marshall
deandre hopkins
mike wallace
travis kelce
tennessee
131.8
100
russell wilson
david johnson
jeremy hill
devontae booker
allen robinson
brandon marshall
deandre hopkins
tyler eifert
tennessee
131.8
100
russell wilson
david johnson
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
charles clay
denver
131.8
99
russell wilson
