5895.94 ms
tom brady
david johnson
thomas rawls
rashad jennings
amari cooper
steve smith
tyler lockett
gary barnidge
tennessee
128.1
100
tom brady
david johnson
thomas rawls
rashad jennings
amari cooper
steve smith
tyler lockett
charles clay
tennessee
127.9
100
tom brady
david johnson
thomas rawls
tevin coleman
amari cooper
steve smith
tyler lockett
travis kelce
tennessee
127.8
100
tom brady
david johnson
thomas rawls
doug martin
amari cooper
steve smith
tyler lockett
gary barnidge
tennessee
127.6
100
blake bortles
david johnson
latavius murray
thomas rawls
amari cooper
terrelle pryor
tyler lockett
travis kelce
tennessee
127.5
100
cam newton
david johnson
thomas rawls
rashad jennings
amari cooper
steve smith
tyler lockett
tyler eifert
tennessee
127.5
100
tom brady
david johnson
thomas rawls
rashad jennings
terrelle pryor
steve smith
tyler lockett
travis kelce
tennessee
127.5
100
blake bortles
david johnson
devonta freeman
thomas rawls
amari cooper
terrelle pryor
tyler lockett
tyler eifert
tennessee
127.4
100
tom brady
david johnson
thomas rawls
doug martin
amari cooper
steve smith
tyler lockett
charles clay
tennessee
127.4
100
russell wilson
david johnson
thomas rawls
rashad jennings
amari cooper
steve smith
tyler lockett
travis kelce
tennessee
127.3
100
cam newton
david johnson
thomas rawls
carlos hyde
amari cooper
steve smith
tyler lockett
travis kelce
tennessee
127.3
100
tom brady
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
tyler lockett
gary barnidge
cincinnati
127.25
100
tom brady
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
tyler lockett
gary barnidge
new orleans
127.25
99
tom brady
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
tyler lockett
gary barnidge
cincinnati
127.25
100
tom brady
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
tyler lockett
gary barnidge
new orleans
127.25
99
tom brady
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
tyler lockett
gary barnidge
tennessee
127.2
98
russell wilson
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
steve smith
gary barnidge
tennessee
127.2
100
ryan fitzpatrick
david johnson
latavius murray
thomas rawls
amari cooper
terrelle pryor
steve smith
gary barnidge
tennessee
127.2
100
cam newton
david johnson
thomas rawls
rashad jennings
amari cooper
steve smith
tyler lockett
travis kelce
new orleans
127.15
100
tom brady
david johnson
carlos hyde
tevin coleman
amari cooper
terrelle pryor
tyler lockett
gary barnidge
tennessee
127.1
100
cam newton
david johnson
thomas rawls
rashad jennings
amari cooper
steve smith
tyler lockett
travis kelce
tennessee
127.1
99
tom brady
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
tyler lockett
charles clay
cincinnati
127.05
100
tom brady
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
tyler lockett
charles clay
new orleans
127.05
99
blake bortles
david johnson
devonta freeman
thomas rawls
amari cooper
terrelle pryor
tyler lockett
travis kelce
new orleans
127.05
100
tom brady
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
tyler lockett
charles clay
cincinnati
127.05
100
cam newton
david johnson
latavius murray
thomas rawls
amari cooper
terrelle pryor
tyler lockett
gary barnidge
cincinnati
127.05
100
tom brady
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
tyler lockett
charles clay
new orleans
127.05
99
tom brady
david johnson
latavius murray
thomas rawls
terrelle pryor
steve smith
tyler lockett
gary barnidge
new orleans
127.05
100
cam newton
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
steve smith
gary barnidge
new orleans
127.05
100
tom brady
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
tyler lockett
charles clay
tennessee
127
98
russell wilson
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
steve smith
charles clay
tennessee
127
100
ryan fitzpatrick
david johnson
latavius murray
thomas rawls
amari cooper
terrelle pryor
steve smith
charles clay
tennessee
127
100
aaron rodgers
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
tyler lockett
gary barnidge
tennessee
127
100
blake bortles
david johnson
devonta freeman
thomas rawls
amari cooper
terrelle pryor
tyler lockett
travis kelce
tennessee
127
99
blake bortles
david johnson
thomas rawls
rashad jennings
amari cooper
terrelle pryor
tyler boyd
travis kelce
tennessee
127
100
cam newton
david johnson
thomas rawls
doug martin
amari cooper
steve smith
tyler lockett
tyler eifert
tennessee
127
100
tom brady
david johnson
latavius murray
thomas rawls
terrelle pryor
steve smith
tyler lockett
gary barnidge
tennessee
127
99
tom brady
david johnson
latavius murray
tevin coleman
amari cooper
steve smith
tyler lockett
gary barnidge
tennessee
127
100
cam newton
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
steve smith
gary barnidge
tennessee
127
99
tom brady
david johnson
thomas rawls
doug martin
terrelle pryor
steve smith
tyler lockett
travis kelce
tennessee
127
100
cam newton
david johnson
thomas rawls
doug martin
amari cooper
steve smith
tyler lockett
tyler eifert
tennessee
127
100
blake bortles
david johnson
thomas rawls
rashad jennings
amari cooper
terrelle pryor
tyler lockett
travis kelce
denver
127
100
russell wilson
david johnson
thomas rawls
carlos hyde
amari cooper
terrelle pryor
tyler lockett
gary barnidge
new orleans
126.95
100
tom brady
david johnson
thomas rawls
carlos hyde
amari cooper
steve smith
tyler lockett
gary barnidge
cincinnati
126.95
99
aaron rodgers
david johnson
thomas rawls
rashad jennings
amari cooper
terrelle pryor
tyler lockett
gary barnidge
cincinnati
126.95
100
blake bortles
david johnson
latavius murray
thomas rawls
amari cooper
terrelle pryor
steve smith
gary barnidge
cincinnati
126.95
100
tom brady
david johnson
rashad jennings
tevin coleman
amari cooper
terrelle pryor
tyler lockett
gary barnidge
new orleans
126.95
100
tom brady
david johnson
thomas rawls
carlos hyde
amari cooper
steve smith
tyler lockett
gary barnidge
cincinnati
126.95
99
tom brady
david johnson
carlos hyde
tevin coleman
amari cooper
terrelle pryor
tyler lockett
charles clay
tennessee
126.9
100
russell wilson
david johnson
thomas rawls
carlos hyde
amari cooper
terrelle pryor
tyler lockett
gary barnidge
tennessee
126.9
99
