146.589 ms
jameis winston
david johnson
devonta freeman
thomas rawls
amari cooper
terrelle pryor
tyler lockett
tennessee
cameron brate
124.9
100
jameis winston
david johnson
devonta freeman
thomas rawls
amari cooper
rishard matthews
tyler lockett
tennessee
cameron brate
124.3
100
jameis winston
david johnson
latavius murray
thomas rawls
amari cooper
terrelle pryor
tyler lockett
cincinnati
cameron brate
124.05
99
jameis winston
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
steve smith
cincinnati
cameron brate
124.05
100
jameis winston
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
steve smith
new orleans
cameron brate
124.05
99
jameis winston
david johnson
thomas rawls
carlos hyde
amari cooper
terrelle pryor
tyler lockett
san diego
cameron brate
124.05
100
jameis winston
david johnson
latavius murray
thomas rawls
amari cooper
terrelle pryor
tyler lockett
cincinnati
cameron brate
124.05
99
jameis winston
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
steve smith
cincinnati
cameron brate
124.05
100
jameis winston
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
steve smith
new orleans
cameron brate
124.05
99
jameis winston
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
steve smith
tennessee
cameron brate
124
98
jameis winston
david johnson
latavius murray
thomas rawls
amari cooper
steve smith
tyler lockett
san diego
cameron brate
123.95
100
jameis winston
david johnson
carlos hyde
tevin coleman
amari cooper
terrelle pryor
steve smith
tennessee
cameron brate
123.9
100
jameis winston
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
rishard matthews
cincinnati
cameron brate
123.85
100
jameis winston
david johnson
thomas rawls
rashad jennings
amari cooper
terrelle pryor
tyler lockett
san diego
cameron brate
123.85
99
jameis winston
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
rishard matthews
cincinnati
cameron brate
123.85
100
jameis winston
david johnson
latavius murray
devontae booker
amari cooper
terrelle pryor
tyler lockett
tennessee
cameron brate
123.8
100
jameis winston
david johnson
latavius murray
rashad jennings
amari cooper
terrelle pryor
tyler lockett
cincinnati
cameron brate
123.75
100
jameis winston
david johnson
thomas rawls
carlos hyde
amari cooper
terrelle pryor
tyler boyd
cincinnati
cameron brate
123.75
100
jameis winston
david johnson
thomas rawls
carlos hyde
amari cooper
terrelle pryor
tyler lockett
new orleans
cameron brate
123.75
98
jameis winston
david johnson
rashad jennings
tevin coleman
amari cooper
terrelle pryor
steve smith
new orleans
cameron brate
123.75
100
jameis winston
david johnson
thomas rawls
carlos hyde
amari cooper
terrelle pryor
tyler lockett
tennessee
cameron brate
123.7
97
jameis winston
david johnson
rashad jennings
tevin coleman
amari cooper
terrelle pryor
steve smith
tennessee
cameron brate
123.7
99
jameis winston
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
tyler boyd
new orleans
cameron brate
123.65
100
jameis winston
david johnson
latavius murray
thomas rawls
amari cooper
steve smith
tyler boyd
cincinnati
cameron brate
123.65
100
jameis winston
david johnson
latavius murray
thomas rawls
amari cooper
steve smith
tyler lockett
new orleans
cameron brate
123.65
98
jameis winston
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
tyler boyd
new orleans
cameron brate
123.65
100
jameis winston
david johnson
thomas rawls
james starks
amari cooper
terrelle pryor
steve smith
new orleans
cameron brate
123.65
100
jameis winston
david johnson
latavius murray
thomas rawls
amari cooper
steve smith
tyler boyd
cincinnati
cameron brate
123.65
100
jameis winston
david johnson
latavius murray
thomas rawls
amari cooper
steve smith
tyler lockett
new orleans
cameron brate
123.65
98
jameis winston
david johnson
thomas rawls
james starks
amari cooper
terrelle pryor
steve smith
new orleans
cameron brate
123.65
100
jameis winston
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
tyler boyd
tennessee
cameron brate
123.6
99
jameis winston
david johnson
latavius murray
thomas rawls
amari cooper
steve smith
tyler lockett
tennessee
cameron brate
123.6
97
jameis winston
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
tyler boyd
tennessee
cameron brate
123.6
99
jameis winston
david johnson
thomas rawls
james starks
amari cooper
terrelle pryor
steve smith
tennessee
cameron brate
123.6
99
jameis winston
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
tyler lockett
denver
cameron brate
123.6
99
jameis winston
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
tyler boyd
denver
cameron brate
123.6
100
jameis winston
david johnson
latavius murray
thomas rawls
amari cooper
steve smith
tyler lockett
tennessee
cameron brate
123.6
97
jameis winston
david johnson
thomas rawls
james starks
amari cooper
terrelle pryor
steve smith
tennessee
cameron brate
123.6
99
jameis winston
david johnson
thomas rawls
devontae booker
amari cooper
terrelle pryor
tyler lockett
denver
cameron brate
123.6
99
jameis winston
david johnson
thomas rawls
tevin coleman
amari cooper
terrelle pryor
tyler boyd
denver
cameron brate
123.6
100
jameis winston
david johnson
devonta freeman
thomas rawls
amari cooper
terrelle pryor
tyler lockett
cincinnati
cameron brate
123.55
98
jameis winston
david johnson
thomas rawls
rashad jennings
amari cooper
terrelle pryor
tyler boyd
cincinnati
cameron brate
123.55
99
jameis winston
david johnson
latavius murray
carlos hyde
amari cooper
steve smith
tyler lockett
new orleans
cameron brate
123.55
100
jameis winston
david johnson
thomas rawls
rashad jennings
amari cooper
terrelle pryor
tyler lockett
new orleans
cameron brate
123.55
97
jameis winston
david johnson
devonta freeman
thomas rawls
amari cooper
terrelle pryor
tyler lockett
cincinnati
cameron brate
123.55
98
jameis winston
david johnson
latavius murray
carlos hyde
amari cooper
steve smith
tyler lockett
new orleans
cameron brate
123.55
100
jameis winston
david johnson
latavius murray
carlos hyde
amari cooper
steve smith
tyler lockett
tennessee
cameron brate
123.5
99
jameis winston
david johnson
thomas rawls
rashad jennings
amari cooper
terrelle pryor
tyler lockett
tennessee
cameron brate
123.5
96
jameis winston
david johnson
latavius murray
carlos hyde
amari cooper
steve smith
tyler lockett
tennessee
cameron brate
123.5
99
jameis winston
david johnson
latavius murray
thomas rawls
amari cooper
rishard matthews
tyler lockett
cincinnati
cameron brate
123.45
99
