741.56 ms
tom brady
demarco murray
latavius murray
thomas rawls
amari cooper
tyler lockett
gary barnidge
tennessee
michael thomas
123.2
100
tom brady
demarco murray
latavius murray
thomas rawls
amari cooper
tyler lockett
charles clay
tennessee
michael thomas
123
100
tom brady
demarco murray
thomas rawls
carlos hyde
amari cooper
steve smith
tyler lockett
tyler eifert
tennessee
122.9
100
tom brady
demarco murray
thomas rawls
devontae booker
amari cooper
tyler lockett
tyler eifert
tennessee
michael thomas
122.8
100
tom brady
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler lockett
tyler eifert
cincinnati
michael thomas
122.75
100
tom brady
demarco murray
thomas rawls
rashad jennings
amari cooper
steve smith
tyler lockett
tyler eifert
new orleans
122.75
100
tom brady
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler boyd
gary barnidge
tennessee
michael thomas
122.7
100
tom brady
demarco murray
thomas rawls
rashad jennings
amari cooper
steve smith
tyler lockett
tyler eifert
tennessee
122.7
99
tom brady
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler lockett
gary barnidge
denver
michael thomas
122.7
100
cam newton
demarco murray
latavius murray
thomas rawls
amari cooper
tyler lockett
tyler eifert
tennessee
michael thomas
122.6
100
tom brady
demarco murray
thomas rawls
carlos hyde
amari cooper
tyler lockett
travis kelce
cincinnati
michael thomas
122.55
100
tom brady
demarco murray
thomas rawls
carlos hyde
amari cooper
steve smith
tyler lockett
travis kelce
new orleans
122.55
100
tom brady
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler boyd
charles clay
tennessee
michael thomas
122.5
100
aaron rodgers
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler lockett
tyler eifert
tennessee
michael thomas
122.5
100
tom brady
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler lockett
charles clay
denver
michael thomas
122.5
100
tom brady
demarco murray
thomas rawls
carlos hyde
amari cooper
steve smith
tyler lockett
travis kelce
tennessee
122.5
99
tom brady
demarco murray
thomas rawls
devontae booker
amari cooper
tyler lockett
travis kelce
new orleans
michael thomas
122.45
100
russell wilson
demarco murray
latavius murray
thomas rawls
amari cooper
tyler lockett
travis kelce
tennessee
michael thomas
122.4
100
tom brady
demarco murray
thomas rawls
tevin coleman
amari cooper
tyler boyd
travis kelce
tennessee
michael thomas
122.4
100
tom brady
demarco murray
latavius murray
thomas rawls
amari cooper
tyler boyd
tyler lockett
travis kelce
tennessee
122.4
100
tom brady
demarco murray
thomas rawls
devontae booker
amari cooper
tyler lockett
travis kelce
tennessee
michael thomas
122.4
99
tom brady
demarco murray
thomas rawls
tevin coleman
amari cooper
tyler lockett
travis kelce
denver
michael thomas
122.4
100
tom brady
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler lockett
travis kelce
cincinnati
michael thomas
122.35
99
tom brady
demarco murray
thomas rawls
rashad jennings
amari cooper
steve smith
tyler lockett
travis kelce
new orleans
122.35
99
aaron rodgers
demarco murray
thomas rawls
carlos hyde
amari cooper
tyler lockett
travis kelce
tennessee
michael thomas
122.3
100
cam newton
demarco murray
thomas rawls
rashad jennings
amari cooper
rishard matthews
gary barnidge
tennessee
michael thomas
122.3
100
tom brady
demarco murray
thomas rawls
rashad jennings
amari cooper
steve smith
tyler lockett
travis kelce
tennessee
122.3
98
tom brady
demarco murray
thomas rawls
doug martin
amari cooper
tyler lockett
tyler eifert
cincinnati
michael thomas
122.25
100
cam newton
demarco murray
latavius murray
thomas rawls
amari cooper
tyler lockett
travis kelce
new orleans
michael thomas
122.25
100
tom brady
demarco murray
thomas rawls
doug martin
amari cooper
steve smith
tyler lockett
tyler eifert
new orleans
122.25
100
tom brady
demarco murray
thomas rawls
doug martin
amari cooper
tyler boyd
gary barnidge
tennessee
michael thomas
122.2
100
cam newton
demarco murray
latavius murray
thomas rawls
amari cooper
tyler lockett
travis kelce
tennessee
michael thomas
122.2
99
cam newton
demarco murray
thomas rawls
devontae booker
amari cooper
steve smith
travis kelce
tennessee
michael thomas
122.2
100
tom brady
demarco murray
thomas rawls
devontae booker
amari cooper
rishard matthews
tyler lockett
travis kelce
tennessee
122.2
100
tom brady
demarco murray
thomas rawls
doug martin
amari cooper
steve smith
tyler lockett
tyler eifert
tennessee
122.2
99
tom brady
demarco murray
thomas rawls
doug martin
amari cooper
tyler lockett
gary barnidge
denver
michael thomas
122.2
100
tom brady
demarco murray
carlos hyde
rashad jennings
amari cooper
steve smith
tyler lockett
travis kelce
tennessee
122.2
100
aaron rodgers
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler lockett
travis kelce
new orleans
michael thomas
122.15
100
tom brady
demarco murray
thomas rawls
tevin coleman
amari cooper
steve smith
gary barnidge
san diego
michael thomas
122.15
100
tom brady
demarco murray
thomas rawls
rashad jennings
amari cooper
rishard matthews
tyler lockett
travis kelce
cincinnati
122.15
100
tom brady
demarco murray
latavius murray
thomas rawls
amari cooper
steve smith
tyler lockett
gary barnidge
san diego
122.15
100
cam newton
demarco murray
thomas rawls
rashad jennings
amari cooper
steve smith
travis kelce
cincinnati
michael thomas
122.15
100
cam newton
demarco murray
thomas rawls
rashad jennings
amari cooper
rishard matthews
charles clay
tennessee
michael thomas
122.1
100
aaron rodgers
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler lockett
travis kelce
tennessee
michael thomas
122.1
99
cam newton
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler boyd
tyler eifert
tennessee
michael thomas
122.1
100
cam newton
demarco murray
thomas rawls
rashad jennings
amari cooper
rishard matthews
charles clay
tennessee
michael thomas
122.1
100
tom brady
demarco murray
rashad jennings
devontae booker
amari cooper
tyler lockett
travis kelce
tennessee
michael thomas
122.1
100
cam newton
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler boyd
tyler eifert
tennessee
michael thomas
122.1
100
cam newton
demarco murray
thomas rawls
rashad jennings
amari cooper
tyler lockett
tyler eifert
denver
michael thomas
122.1
100
tom brady
demarco murray
thomas rawls
doug martin
amari cooper
tyler boyd
charles clay
tennessee
michael thomas
122
100
