24689.2 ms
tom brady
devonta freeman
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
travis kelce
tennessee
129.4
100
tom brady
latavius murray
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
tyler eifert
cincinnati
128.95
100
tom brady
latavius murray
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
gary barnidge
denver
128.9
100
tom brady
jeremy hill
thomas rawls
rashad jennings
amari cooper
allen robinson
brandon marshall
tyler eifert
san diego
128.75
100
aaron rodgers
latavius murray
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
tyler eifert
tennessee
128.7
100
tom brady
latavius murray
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
charles clay
denver
128.7
100
tom brady
latavius murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
travis kelce
denver
128.7
100
tom brady
latavius murray
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
charles clay
denver
128.7
100
tom brady
latavius murray
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
travis kelce
denver
128.7
100
tom brady
jeremy hill
thomas rawls
carlos hyde
amari cooper
allen robinson
brandon marshall
tyler eifert
new orleans
128.65
99
tom brady
latavius murray
devonta freeman
jeremy hill
amari cooper
allen robinson
brandon marshall
gary barnidge
tennessee
128.6
100
tom brady
jeremy hill
thomas rawls
carlos hyde
amari cooper
allen robinson
brandon marshall
tyler eifert
tennessee
128.6
98
tom brady
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
deandre hopkins
tyler eifert
denver
128.6
100
tom brady
devonta freeman
jeremy hill
thomas rawls
amari cooper
brandon marshall
deandre hopkins
tyler eifert
denver
128.6
100
tom brady
jeremy hill
thomas rawls
carlos hyde
amari cooper
allen robinson
brandon marshall
tyler eifert
tennessee
128.6
98
tom brady
jeremy hill
thomas rawls
carlos hyde
amari cooper
allen robinson
deandre hopkins
tyler eifert
new orleans
128.55
100
tom brady
latavius murray
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
travis kelce
cincinnati
128.55
99
tom brady
jeremy hill
thomas rawls
carlos hyde
amari cooper
allen robinson
deandre hopkins
tyler eifert
new orleans
128.55
100
tom brady
jeremy hill
thomas rawls
carlos hyde
amari cooper
allen robinson
brandon marshall
travis kelce
san diego
128.55
100
tom brady
jeremy hill
thomas rawls
carlos hyde
amari cooper
allen robinson
deandre hopkins
tyler eifert
tennessee
128.5
99
tom brady
jeremy hill
thomas rawls
devontae booker
amari cooper
allen robinson
brandon marshall
tyler eifert
denver
128.5
100
tom brady
latavius murray
jeremy hill
thomas rawls
amari cooper
allen robinson
deandre hopkins
travis kelce
cincinnati
128.45
100
tom brady
devonta freeman
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
tyler eifert
cincinnati
128.45
99
tom brady
demarco murray
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
tyler eifert
new orleans
128.45
100
tom brady
jeremy hill
thomas rawls
rashad jennings
amari cooper
allen robinson
brandon marshall
tyler eifert
new orleans
128.45
98
tom brady
latavius murray
jeremy hill
thomas rawls
amari cooper
allen robinson
deandre hopkins
travis kelce
cincinnati
128.45
100
tom brady
devonta freeman
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
tyler eifert
cincinnati
128.45
99
tom brady
jeremy hill
thomas rawls
rashad jennings
amari cooper
allen robinson
brandon marshall
tyler eifert
new orleans
128.45
98
tom brady
latavius murray
devonta freeman
jeremy hill
amari cooper
allen robinson
brandon marshall
charles clay
tennessee
128.4
100
tom brady
latavius murray
jeremy hill
amari cooper
allen robinson
brandon marshall
deandre hopkins
travis kelce
tennessee
128.4
100
tom brady
latavius murray
devonta freeman
jeremy hill
amari cooper
brandon marshall
deandre hopkins
travis kelce
tennessee
128.4
100
tom brady
demarco murray
jeremy hill
thomas rawls
allen robinson
brandon marshall
deandre hopkins
tyler eifert
tennessee
128.4
99
tom brady
latavius murray
jeremy hill
thomas rawls
amari cooper
terrelle pryor
brandon marshall
tyler eifert
tennessee
128.4
100
tom brady
jeremy hill
thomas rawls
rashad jennings
amari cooper
allen robinson
brandon marshall
tyler eifert
tennessee
128.4
97
tom brady
devonta freeman
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
gary barnidge
denver
128.4
99
tom brady
latavius murray
jeremy hill
amari cooper
allen robinson
brandon marshall
deandre hopkins
travis kelce
tennessee
128.4
100
tom brady
latavius murray
jeremy hill
thomas rawls
amari cooper
terrelle pryor
brandon marshall
tyler eifert
tennessee
128.4
100
tom brady
jeremy hill
thomas rawls
rashad jennings
amari cooper
allen robinson
brandon marshall
tyler eifert
tennessee
128.4
97
tom brady
devonta freeman
jeremy hill
thomas rawls
amari cooper
allen robinson
brandon marshall
gary barnidge
denver
128.4
99
tom brady
devonta freeman
jeremy hill
thomas rawls
amari cooper
allen robinson
deandre hopkins
tyler eifert
cincinnati
128.35
100
aaron rodgers
latavius murray
jeremy hill
thomas rawls
amari cooper
