71370.8 ms
blake bortles
david johnson
jeremy hill
rashad jennings
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
133.1
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
greg olsen
cincinnati
133.05
100
blake bortles
david johnson
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
greg olsen
new orleans
132.65
100
blake bortles
david johnson
devonta freeman
jeremy hill
deandre hopkins
mike wallace
jarvis landry
greg olsen
tennessee
132.6
100
blake bortles
david johnson
jeremy hill
doug martin
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
132.6
100
blake bortles
david johnson
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
132.6
99
blake bortles
david johnson
devonta freeman
jeremy hill
deandre hopkins
mike wallace
jarvis landry
greg olsen
tennessee
132.6
100
blake bortles
david johnson
jeremy hill
doug martin
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
132.6
100
blake bortles
david johnson
jeremy hill
thomas rawls
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
132.6
99
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
terrelle pryor
deandre hopkins
mike wallace
greg olsen
tennessee
132.5
100
cam newton
david johnson
jeremy hill
tevin coleman
allen robinson
deandre hopkins
mike wallace
greg olsen
cincinnati
132.35
100
blake bortles
david johnson
devonta freeman
jeremy hill
deandre hopkins
mike wallace
kenny britt
greg olsen
tennessee
132.3
100
blake bortles
david johnson
devonta freeman
jeremy hill
terrelle pryor
deandre hopkins
mike wallace
greg olsen
cincinnati
132.25
100
cam newton
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
gary barnidge
new orleans
132.25
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
kelvin benjamin
deandre hopkins
mike wallace
greg olsen
new orleans
132.25
100
ryan fitzpatrick
david johnson
jeremy hill
carlos hyde
allen robinson
deandre hopkins
mike wallace
greg olsen
new orleans
132.25
100
cam newton
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
gary barnidge
tennessee
132.2
99
blake bortles
david johnson
jeremy hill
rashad jennings
allen robinson
deandre hopkins
steve smith
greg olsen
tennessee
132.2
100
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
kelvin benjamin
deandre hopkins
mike wallace
greg olsen
tennessee
132.2
99
ryan fitzpatrick
david johnson
jeremy hill
carlos hyde
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
132.2
99
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
steve smith
greg olsen
cincinnati
132.15
100
carson wentz
david johnson
jeremy hill
rashad jennings
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
132.1
100
ryan fitzpatrick
david johnson
jeremy hill
thomas rawls
allen robinson
kelvin benjamin
deandre hopkins
greg olsen
tennessee
132.1
100
cam newton
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
charles clay
new orleans
132.05
100
ryan fitzpatrick
david johnson
jeremy hill
rashad jennings
allen robinson
deandre hopkins
mike wallace
greg olsen
new orleans
132.05
99
cam newton
david johnson
devonta freeman
jeremy hill
allen robinson
deandre hopkins
mike wallace
charles clay
tennessee
132
99
blake bortles
david johnson
jeremy hill
rashad jennings
allen robinson
mike wallace
steve smith
greg olsen
tennessee
132
100
ryan fitzpatrick
david johnson
jeremy hill
rashad jennings
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
132
98
ryan fitzpatrick
david johnson
devonta freeman
jeremy hill
allen robinson
mike wallace
steve smith
greg olsen
cincinnati
131.95
100
blake bortles
david johnson
devonta freeman
jeremy hill
kelvin benjamin
deandre hopkins
mike wallace
greg olsen
cincinnati
131.95
99
blake bortles
david johnson
jeremy hill
carlos hyde
