14088.2 ms
ryan fitzpatrick
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
kelvin benjamin
gary barnidge
tennessee
127.9
100
ryan fitzpatrick
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
kelvin benjamin
charles clay
tennessee
127.7
100
blake bortles
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
steve smith
travis kelce
tennessee
127.7
100
blake bortles
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
steve smith
gary barnidge
tennessee
127.7
100
blake bortles
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
kelvin benjamin
gary barnidge
cincinnati
127.65
100
ryan fitzpatrick
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
kelvin benjamin
travis kelce
tennessee
127.6
100
blake bortles
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
steve smith
tyler eifert
tennessee
127.6
100
blake bortles
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
steve smith
gary barnidge
new orleans
127.55
100
blake bortles
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
steve smith
charles clay
tennessee
127.5
100
tom brady
david johnson
thomas rawls
tevin coleman
allen robinson
jarvis landry
steve smith
gary barnidge
tennessee
127.5
100
cam newton
david johnson
rashad jennings
thomas rawls
allen robinson
kelvin benjamin
steve smith
gary barnidge
tennessee
127.5
100
blake bortles
david johnson
rashad jennings
doug martin
amari cooper
allen robinson
steve smith
gary barnidge
tennessee
127.5
100
blake bortles
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
steve smith
gary barnidge
tennessee
127.5
99
blake bortles
david johnson
thomas rawls
devontae booker
amari cooper
allen robinson
kelvin benjamin
gary barnidge
tennessee
127.5
100
blake bortles
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
kelvin benjamin
charles clay
cincinnati
127.45
100
ryan fitzpatrick
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
jarvis landry
gary barnidge
tennessee
127.4
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
jarvis landry
travis kelce
tennessee
127.4
100
ryan fitzpatrick
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
jarvis landry
gary barnidge
tennessee
127.4
100
ryan fitzpatrick
david johnson
thomas rawls
doug martin
amari cooper
allen robinson
kelvin benjamin
gary barnidge
tennessee
127.4
100
blake bortles
david johnson
rashad jennings
thomas rawls
allen robinson
kelvin benjamin
jarvis landry
travis kelce
tennessee
127.4
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
jarvis landry
travis kelce
tennessee
127.4
100
blake bortles
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
kelvin benjamin
travis kelce
cincinnati
127.35
100
blake bortles
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
steve smith
charles clay
new orleans
127.35
100
blake bortles
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
terrelle pryor
gary barnidge
new orleans
127.35
100
tom brady
david johnson
rashad jennings
tevin coleman
allen robinson
kelvin benjamin
steve smith
gary barnidge
cincinnati
127.35
100
ryan fitzpatrick
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
jarvis landry
tyler eifert
tennessee
127.3
100
tom brady
david johnson
thomas rawls
tevin coleman
allen robinson
jarvis landry
steve smith
charles clay
tennessee
127.3
100
cam newton
david johnson
rashad jennings
thomas rawls
allen robinson
kelvin benjamin
steve smith
charles clay
tennessee
127.3
100
blake bortles
david johnson
rashad jennings
doug martin
amari cooper
allen robinson
steve smith
charles clay
tennessee
127.3
100
blake bortles
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
steve smith
charles clay
tennessee
127.3
99
blake bortles
david johnson
thomas rawls
devontae booker
amari cooper
allen robinson
kelvin benjamin
charles clay
tennessee
127.3
100
blake bortles
david johnson
rashad jennings
devontae booker
amari cooper
allen robinson
jarvis landry
gary barnidge
tennessee
127.3
100
cam newton
david johnson
carlos hyde
tevin coleman
allen robinson
terrelle pryor
kelvin benjamin
gary barnidge
tennessee
127.3
100
blake bortles
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
terrelle pryor
gary barnidge
tennessee
127.3
99
ryan fitzpatrick
david johnson
rashad jennings
thomas rawls
allen robinson
terrelle pryor
kelvin benjamin
travis kelce
tennessee
127.3
100
blake bortles
david johnson
rashad jennings
thomas rawls
allen robinson
terrelle pryor
steve smith
tyler eifert
tennessee
127.3
100
ryan fitzpatrick
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
jarvis landry
tyler eifert
tennessee
127.3
100
cam newton
david johnson
rashad jennings
thomas rawls
allen robinson
kelvin benjamin
steve smith
charles clay
tennessee
127.3
100
cam newton
david johnson
carlos hyde
tevin coleman
allen robinson
terrelle pryor
kelvin benjamin
gary barnidge
tennessee
127.3
100
blake bortles
david johnson
carlos hyde
rashad jennings
allen robinson
kelvin benjamin
steve smith
travis kelce
tennessee
127.3
100
cam newton
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
steve smith
gary barnidge
cincinnati
127.25
100
ryan fitzpatrick
david johnson
carlos hyde
rashad jennings
amari cooper
allen robinson
kelvin benjamin
gary barnidge
cincinnati
127.25
100
ryan fitzpatrick
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
jarvis landry
gary barnidge
new orleans
127.25
100
blake bortles
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
steve smith
travis kelce
new orleans
127.25
100
ryan fitzpatrick
david johnson
carlos hyde
rashad jennings
amari cooper
allen robinson
kelvin benjamin
gary barnidge
cincinnati
127.25
100
ryan fitzpatrick
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
jarvis landry
charles clay
tennessee
127.2
100
ryan fitzpatrick
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
steve smith
tyler eifert
tennessee
127.2
100
ryan fitzpatrick
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
jarvis landry
charles clay
tennessee
127.2
100
ryan fitzpatrick
david johnson
thomas rawls
doug martin
amari cooper
allen robinson
kelvin benjamin
charles clay
tennessee
127.2
100
tom brady
david johnson
rashad jennings
tevin coleman
allen robinson
terrelle pryor
tyler boyd
gary barnidge
tennessee
127.2
100
ryan fitzpatrick
david johnson
rashad jennings
doug martin
amari cooper
allen robinson
jarvis landry
gary barnidge
tennessee
127.2
100
ryan fitzpatrick
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
jarvis landry
gary barnidge
tennessee
127.2
99
ryan fitzpatrick
david johnson
rashad jennings
devontae booker
amari cooper
allen robinson
terrelle pryor
gary barnidge
tennessee
127.2
100
blake bortles
david johnson
doug martin
tevin coleman
amari cooper
allen robinson
steve smith
travis kelce
tennessee
127.2
100
blake bortles
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
steve smith
travis kelce
tennessee
127.2
99
ryan fitzpatrick
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
steve smith
tyler eifert
tennessee
127.2
100
tom brady
david johnson
devontae booker
tevin coleman
allen robinson
kelvin benjamin
steve smith
gary barnidge
tennessee
127.2
100
cam newton
david johnson
thomas rawls
tevin coleman
allen robinson
kelvin benjamin
steve smith
travis kelce
tennessee
127.2
100
blake bortles
david johnson
carlos hyde
thomas rawls
allen robinson
kelvin benjamin
steve smith
tyler eifert
tennessee
127.2
100
blake bortles
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
jarvis landry
travis kelce
cincinnati
127.15
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
kelvin benjamin
tyler eifert
cincinnati
127.15
100
blake bortles
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
terrelle pryor
charles clay
new orleans
127.15
100
ryan fitzpatrick
david johnson
carlos hyde
rashad jennings
amari cooper
allen robinson
steve smith
gary barnidge
new orleans
127.15
100
blake bortles
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
terrelle pryor
gary barnidge
new orleans
127.15
99
blake bortles
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
kelvin benjamin
gary barnidge
san diego
127.15
100
tom brady
david johnson
rashad jennings
tevin coleman
allen robinson
kelvin benjamin
steve smith
charles clay
cincinnati
127.15
100
tom brady
david johnson
thomas rawls
tevin coleman
allen robinson
terrelle pryor
steve smith
gary barnidge
cincinnati
127.15
100
blake bortles
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
jarvis landry
gary barnidge
cincinnati
127.15
100
blake bortles
david johnson
thomas rawls
doug martin
amari cooper
allen robinson
kelvin benjamin
gary barnidge
cincinnati
127.15
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
kelvin benjamin
tyler eifert
cincinnati
127.15
100
ryan fitzpatrick
david johnson
carlos hyde
rashad jennings
amari cooper
allen robinson
steve smith
gary barnidge
new orleans
127.15
100
cam newton
david johnson
rashad jennings
tevin coleman
allen robinson
terrelle pryor
kelvin benjamin
gary barnidge
new orleans
127.15
100
tom brady
david johnson
rashad jennings
tevin coleman
allen robinson
kelvin benjamin
steve smith
charles clay
cincinnati
127.15
100
tom brady
david johnson
thomas rawls
tevin coleman
allen robinson
terrelle pryor
steve smith
gary barnidge
cincinnati
127.15
100
blake bortles
david johnson
rashad jennings
devontae booker
amari cooper
allen robinson
jarvis landry
charles clay
tennessee
127.1
100
cam newton
david johnson
carlos hyde
tevin coleman
allen robinson
terrelle pryor
kelvin benjamin
charles clay
tennessee
127.1
100
blake bortles
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
terrelle pryor
charles clay
tennessee
127.1
99
cam newton
david johnson
devontae booker
tevin coleman
amari cooper
allen robinson
steve smith
gary barnidge
tennessee
127.1
100
ryan fitzpatrick
david johnson
carlos hyde
rashad jennings
amari cooper
allen robinson
steve smith
gary barnidge
tennessee
127.1
99
ryan fitzpatrick
david johnson
carlos hyde
devontae booker
amari cooper
allen robinson
kelvin benjamin
gary barnidge
tennessee
127.1
100
ryan fitzpatrick
david johnson
rashad jennings
isaiah crowell
amari cooper
allen robinson
kelvin benjamin
gary barnidge
tennessee
127.1
100
blake bortles
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
terrelle pryor
gary barnidge
tennessee
127.1
98
cam newton
david johnson
carlos hyde
tevin coleman
allen robinson
terrelle pryor
kelvin benjamin
charles clay
tennessee
127.1
100
tom brady
david johnson
carlos hyde
tevin coleman
allen robinson
kelvin benjamin
tyler boyd
gary barnidge
tennessee
127.1
100
aaron rodgers
david johnson
rashad jennings
tevin coleman
allen robinson
kelvin benjamin
steve smith
gary barnidge
tennessee
127.1
100
cam newton
david johnson
devontae booker
tevin coleman
amari cooper
allen robinson
steve smith
gary barnidge
tennessee
127.1
100
ryan fitzpatrick
david johnson
carlos hyde
rashad jennings
amari cooper
allen robinson
steve smith
gary barnidge
tennessee
127.1
99
cam newton
david johnson
rashad jennings
tevin coleman
allen robinson
terrelle pryor
kelvin benjamin
gary barnidge
tennessee
127.1
99
blake bortles
david johnson
rashad jennings
thomas rawls
amari cooper
terrelle pryor
kelvin benjamin
gary barnidge
tennessee
127.1
100
ryan fitzpatrick
david johnson
carlos hyde
devontae booker
amari cooper
allen robinson
kelvin benjamin
gary barnidge
tennessee
127.1
100
ryan fitzpatrick
david johnson
rashad jennings
isaiah crowell
amari cooper
allen robinson
kelvin benjamin
gary barnidge
tennessee
127.1
100
blake bortles
david johnson
carlos hyde
thomas rawls
allen robinson
terrelle pryor
steve smith
travis kelce
tennessee
127.1
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
kelvin benjamin
gary barnidge
denver
127.1
100
cam newton
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
steve smith
charles clay
cincinnati
127.05
100
ryan fitzpatrick
david johnson
carlos hyde
rashad jennings
amari cooper
allen robinson
kelvin benjamin
charles clay
cincinnati
127.05
100
ryan fitzpatrick
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
terrelle pryor
gary barnidge
cincinnati
127.05
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
terrelle pryor
travis kelce
cincinnati
127.05
100
blake bortles
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
jarvis landry
tyler eifert
cincinnati
127.05
100
ryan fitzpatrick
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
jarvis landry
charles clay
new orleans
127.05
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
steve smith
tyler eifert
new orleans
127.05
100
ryan fitzpatrick
david johnson
carlos hyde
rashad jennings
amari cooper
allen robinson
kelvin benjamin
charles clay
cincinnati
127.05
100
ryan fitzpatrick
david johnson
carlos hyde
thomas rawls
amari cooper
allen robinson
terrelle pryor
gary barnidge
cincinnati
127.05
100
blake bortles
david johnson
rashad jennings
thomas rawls
allen robinson
terrelle pryor
kelvin benjamin
travis kelce
cincinnati
127.05
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
terrelle pryor
travis kelce
cincinnati
127.05
100
blake bortles
david johnson
thomas rawls
doug martin
amari cooper
allen robinson
steve smith
gary barnidge
new orleans
127.05
100
blake bortles
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
kelvin benjamin
gary barnidge
new orleans
127.05
99
blake bortles
david johnson
rashad jennings
thomas rawls
allen robinson
kelvin benjamin
steve smith
tyler eifert
new orleans
127.05
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
steve smith
tyler eifert
new orleans
127.05
100
tom brady
david johnson
rashad jennings
tevin coleman
allen robinson
terrelle pryor
tyler boyd
charles clay
tennessee
127
100
ryan fitzpatrick
david johnson
rashad jennings
doug martin
amari cooper
allen robinson
jarvis landry
charles clay
tennessee
127
100
ryan fitzpatrick
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
jarvis landry
charles clay
tennessee
127
99
ryan fitzpatrick
david johnson
rashad jennings
devontae booker
amari cooper
allen robinson
terrelle pryor
charles clay
tennessee
127
100
cam newton
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
tyler boyd
gary barnidge
tennessee
127
100
ryan fitzpatrick
david johnson
rashad jennings
thomas rawls
amari cooper
allen robinson
tyler boyd
travis kelce
tennessee
127
100
blake bortles
david johnson
devontae booker
tevin coleman
amari cooper
allen robinson
jarvis landry
travis kelce
tennessee
127
100
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
steve smith
tyler eifert
tennessee
127
99
ryan fitzpatrick
david johnson
rashad jennings
thomas rawls
allen robinson
terrelle pryor
jarvis landry
tyler eifert
tennessee
127
100
ryan fitzpatrick
david johnson
devontae booker
tevin coleman
amari cooper
allen robinson
kelvin benjamin
tyler eifert
tennessee
127
100
tom brady
david johnson
devontae booker
tevin coleman
allen robinson
kelvin benjamin
steve smith
charles clay
tennessee
127
100
cam newton
david johnson
carlos hyde
thomas rawls
allen robinson
jarvis landry
steve smith
gary barnidge
tennessee
127
100
cam newton
david johnson
thomas rawls
doug martin
allen robinson
kelvin benjamin
steve smith
gary barnidge
tennessee
127
100
blake bortles
david johnson
thomas rawls
doug martin
amari cooper
allen robinson
steve smith
gary barnidge
tennessee
127
99
blake bortles
david johnson
thomas rawls
isaiah crowell
amari cooper
allen robinson
jarvis landry
gary barnidge
tennessee
127
100
cam newton
david johnson
tevin coleman
james starks
amari cooper
allen robinson
kelvin benjamin
gary barnidge
tennessee
127
100
blake bortles
david johnson
carlos hyde
tevin coleman
amari cooper
allen robinson
kelvin benjamin
gary barnidge
tennessee
127
98
blake bortles
david johnson
todd gurley
tevin coleman
amari cooper
allen robinson
kelvin benjamin
gary barnidge
tennessee
127
100
cam newton
david johnson
rashad jennings
tevin coleman
allen robinson
jarvis landry
steve smith
travis kelce
tennessee
127
100
ryan fitzpatrick
david johnson
carlos hyde
rashad jennings
allen robinson
kelvin benjamin
jarvis landry
travis kelce
tennessee
127
100
blake bortles
david johnson
carlos hyde
rashad jennings
allen robinson
jarvis landry
steve smith
tyler eifert
tennessee
127
100
blake bortles
david johnson
rashad jennings
doug martin
allen robinson
kelvin benjamin
steve smith
tyler eifert
tennessee
127
100
blake bortles
david johnson
rashad jennings
thomas rawls
allen robinson
kelvin benjamin
steve smith
tyler eifert
tennessee
127
99
ryan fitzpatrick
david johnson
rashad jennings
tevin coleman
amari cooper
allen robinson
steve smith
tyler eifert
tennessee
127
99
ryan fitzpatrick
david johnson
devontae booker
tevin coleman
amari cooper
allen robinson
kelvin benjamin
tyler eifert
tennessee
127
100
blake bortles
david johnson
thomas rawls
tevin coleman
amari cooper
allen robinson
jarvis landry
gary barnidge
denver
127
100
cam newton
david johnson
carlos hyde
thomas rawls
allen robinson
jarvis landry
steve smith
gary barnidge
tennessee
127
100
cam newton
david johnson
thomas rawls
doug martin
allen robinson
kelvin benjamin
steve smith
gary barnidge
tennessee
127
100
ryan fitzpatrick
