24548.8 ms
tom brady
rashad jennings
thomas rawls
tevin coleman
amari cooper
allen robinson
brandon marshall
greg olsen
tennessee
127.4
100
tom brady
rashad jennings
thomas rawls
doug martin
amari cooper
brandon marshall
deandre hopkins
greg olsen
tennessee
127
100
tom brady
thomas rawls
doug martin
tevin coleman
amari cooper
allen robinson
brandon marshall
greg olsen
tennessee
126.9
100
tom brady
rashad jennings
thomas rawls
doug martin
amari cooper
brandon marshall
mike wallace
greg olsen
tennessee
126.8
100
tom brady
rashad jennings
tevin coleman
amari cooper
allen robinson
brandon marshall
deandre hopkins
greg olsen
new orleans
126.75
100
tom brady
rashad jennings
tevin coleman
amari cooper
allen robinson
brandon marshall
deandre hopkins
greg olsen
tennessee
126.7
99
tom brady
todd gurley
rashad jennings
thomas rawls
allen robinson
brandon marshall
deandre hopkins
greg olsen
new orleans
126.65
100
tom brady
todd gurley
rashad jennings
doug martin
allen robinson
brandon marshall
deandre hopkins
greg olsen
tennessee
126.6
100
tom brady
todd gurley
rashad jennings
thomas rawls
allen robinson
brandon marshall
deandre hopkins
greg olsen
tennessee
126.6
99
tom brady
rashad jennings
isaiah crowell
tevin coleman
amari cooper
allen robinson
brandon marshall
greg olsen
tennessee
126.6
100
tom brady
todd gurley
rashad jennings
doug martin
allen robinson
brandon marshall
deandre hopkins
greg olsen
tennessee
126.6
100
tom brady
todd gurley
rashad jennings
thomas rawls
allen robinson
brandon marshall
deandre hopkins
greg olsen
tennessee
126.6
99
tom brady
rashad jennings
thomas rawls
doug martin
allen robinson
terrelle pryor
brandon marshall
greg olsen
tennessee
126.6
100
tom brady
rashad jennings
isaiah crowell
tevin coleman
amari cooper
allen robinson
brandon marshall
greg olsen
tennessee
126.6
100
tom brady
rashad jennings
tevin coleman
amari cooper
allen robinson
brandon marshall
mike wallace
greg olsen
new orleans
126.55
100
tom brady
rashad jennings
tevin coleman
amari cooper
allen robinson
brandon marshall
mike wallace
greg olsen
tennessee
126.5
99
tom brady
rashad jennings
thomas rawls
isaiah crowell
allen robinson
brandon marshall
deandre hopkins
greg olsen
denver
126.5
100
tom brady
rashad jennings
devontae booker
tevin coleman
amari cooper
allen robinson
brandon marshall
greg olsen
new orleans
126.45
100
tom brady
todd gurley
rashad jennings
thomas rawls
allen robinson
brandon marshall
mike wallace
greg olsen
new orleans
126.45
100
tom brady
rashad jennings
devontae booker
tevin coleman
amari cooper
allen robinson
brandon marshall
greg olsen
new orleans
126.45
100
tom brady
rashad jennings
devontae booker
tevin coleman
amari cooper
allen robinson
brandon marshall
greg olsen
tennessee
126.4
99
tom brady
rashad jennings
tevin coleman
amari cooper
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
126.4
100
tom brady
todd gurley
rashad jennings
doug martin
allen robinson
brandon marshall
mike wallace
greg olsen
tennessee
126.4
100
tom brady
todd gurley
rashad jennings
thomas rawls
allen robinson
brandon marshall
mike wallace
greg olsen
tennessee
126.4
99
tom brady
rashad jennings
devontae booker
tevin coleman
amari cooper
allen robinson
brandon marshall
greg olsen
tennessee
126.4
99
tom brady
todd gurley
rashad jennings
doug martin
allen robinson
brandon marshall
mike wallace
greg olsen
tennessee
126.4
100
tom brady
todd gurley
rashad jennings
thomas rawls
allen robinson
brandon marshall
mike wallace
greg olsen
tennessee
126.4
99
tom brady
rashad jennings
doug martin
allen robinson
brandon marshall
deandre hopkins
mike wallace
greg olsen
denver
126.4
100
tom brady
rashad jennings
thomas rawls
allen robinson
brandon marshall
deandre hopkins
mike wallace
greg olsen
denver
126.4
99
tom brady
rashad jennings
devontae booker
tevin coleman
amari cooper
allen robinson
deandre hopkins
greg olsen
tennessee
126.3
100
tom brady
todd gurley
rashad jennings
thomas rawls
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
126.3
100
tom brady
rashad jennings
james starks
amari cooper
allen robinson
brandon marshall
deandre hopkins
greg olsen
tennessee
126.3
100
tom brady
rashad jennings
devontae booker
tevin coleman
amari cooper
allen robinson
deandre hopkins
greg olsen
tennessee
126.3
100
tom brady
todd gurley
rashad jennings
thomas rawls
allen robinson
deandre hopkins
mike wallace
greg olsen
tennessee
126.3
100
tom brady
rashad jennings
thomas rawls
isaiah crowell
allen robinson
brandon marshall
mike wallace
greg olsen
denver
126.3
100
tom brady
rashad jennings
doug martin
devontae booker
allen robinson
brandon marshall
deandre hopkins
greg olsen
denver
126.3
100
tom brady
rashad jennings
thomas rawls
devontae booker
allen robinson
brandon marshall
deandre hopkins
greg olsen
denver
126.3
99
tom brady
rashad jennings
thomas rawls
isaiah crowell
allen robinson
brandon marshall
mike wallace
greg olsen
denver
126.3
100
tom brady
doug martin
tevin coleman
amari cooper
allen robinson
brandon marshall
deandre hopkins
greg olsen
new orleans
126.25
100
tom brady
thomas rawls
tevin coleman
amari cooper
allen robinson
brandon marshall
deandre hopkins
greg olsen
new orleans
126.25
99
tom brady
rashad jennings
thomas rawls
isaiah crowell
amari cooper
brandon marshall
deandre hopkins
greg olsen
new orleans
126.25
100
cam newton
rashad jennings
thomas rawls
doug martin
amari cooper
allen robinson
brandon marshall
greg olsen
new orleans
126.25
100
tom brady
rashad jennings
thomas rawls
doug martin
allen robinson
brandon marshall
deandre hopkins
greg olsen
san diego
126.25
99
tom brady
doug martin
tevin coleman
amari cooper
allen robinson
brandon marshall
deandre hopkins
greg olsen
tennessee
126.2
99
tom brady
thomas rawls
tevin coleman
amari cooper
allen robinson
brandon marshall
deandre hopkins
greg olsen
tennessee
126.2
98
tom brady
rashad jennings
doug martin
isaiah crowell
amari cooper
brandon marshall
deandre hopkins
greg olsen
tennessee
126.2
100
tom brady
rashad jennings
thomas rawls
isaiah crowell
amari cooper
brandon marshall
deandre hopkins
greg olsen
tennessee
126.2
99
cam newton
rashad jennings
thomas rawls
doug martin
amari cooper
allen robinson
brandon marshall
greg olsen
tennessee
126.2
99
tom brady
rashad jennings
doug martin
tevin coleman
amari cooper
brandon marshall
deandre hopkins
greg olsen
denver
126.2
100
tom brady
rashad jennings
thomas rawls
tevin coleman
amari cooper
brandon marshall
deandre hopkins
greg olsen
denver
126.2
99
tom brady
rashad jennings
doug martin
tevin coleman
amari cooper
brandon marshall
deandre hopkins
greg olsen
denver
126.2
100
tom brady
rashad jennings
thomas rawls
tevin coleman
amari cooper
brandon marshall
deandre hopkins
greg olsen
denver
126.2
99
tom brady
rashad jennings
doug martin
amari cooper
